ricoId,label
rico:isOrWasMainSubjectOfAllMembersOf,est ou a été le sujet principal de tous les membres de
rico:isOrWasMainSubjectOfSomeMembersOf,est ou a été le sujet principal de certains membres de
rico:isOrWasMainThingRepresentedByContentOfSomeMembersOf,est ou a été la chose principale représentée par le contenu de certains membres de
rico:isOrWasManagerOf,est ou a été le gestionnaire de
rico:isOrWasMandateTypeOf,est ou a été le type de mandat de
rico:isOrWasMemberOf,est ou a été membre de
rico:isOrWasNameOf,est ou a été le nom de
rico:isOrWasOccupationTypeOf,est ou a été le type d’occupation de
rico:isOrWasOccupiedBy,est ou a été occupé par
rico:isOrWasOwnerOf,est ou a été propriétaire de
rico:isOrWasPartOf,est ou a été une partie de
rico:isOrWasParticipantIn,participe ou a participé à
rico:isOrWasPerformedBy,est ou a été réalisée par
rico:isOrWasPhysicalLocationOf,a ou a été la localisation physique de
rico:isOrWasPlaceNameOf,a ou a été le nom de lieu de
rico:isOrWasPlaceTypeOf,a ou a été le type de lieu de
rico:isOrWasRecordStateOfAllMembersOf,a ou a été l’état de tous les membres de
rico:isOrWasRecordStateOfSomeMembersOf,a ou a été l’état de certains membres de
rico:isOrWasRegulatedBy,est ou a été régulé par
rico:isOrWasRepresentedByContentOfSomeMembersOf,est ou a été représenté par le contenu de certains membres de
rico:isOrWasResponsibleForEnforcing,impose ou a imposé
rico:isOrWasRuleTypeOf,est ou a été le type de règle de
rico:isOrWasSubdivisionOf,est ou a été une subdivision de
rico:isOrWasSubeventOf,est ou a été un événement constituant de
rico:isOrWasSubjectOf,est ou a été le sujet de
rico:isOrWasSubjectOfAllMembersOf,est ou a été le sujet de tous les membres de
rico:isOrWasSubjectOfSomeMembersOf,est ou a été le sujet de certains membres de
rico:isOrWasSubordinateTo,est ou a été le subalterne de
rico:isOrWasTitleOf,est ou a été l’intitulé de
rico:isOrWasTypeOf,est ou a été le type de
rico:isOrWasTypeOfAllMembersOf,est ou a été le type de tous les membres de
rico:isOrWasTypeOfSomeMembersOf,est ou a été le type de certains membres de
rico:isOrWasUnderAuthorityOf,est ou a été sous l’autorité de
rico:isOrganicOrFunctionalProvenanceOf,est la provenance organique ou fonctionnelle de
rico:isOrganicProvenanceDateOf,est la date de provenance organique de
rico:isOrganicProvenanceOf,est la provenance organique de
rico:isOriginalOf,est l’original de
rico:isPartOfTransitive,est une partie de transitif
rico:isPlaceAssociatedWith,est un lieu associé à
rico:isPlaceAssociatedWithAgent,est un lieu associé à l'agent
rico:isProductionTechniqueTypeOf,est le type de technique de production de
rico:isPublicationDateOf,est la date de publication de
rico:isPublisherOf,est l’éditeur de
rico:isReceiverOf,reçoit
rico:isRecordResourceAssociatedWithRecordResource,est une ressource archivistique associée avec la ressource archivistique
rico:isRecordSetTypeOf,est le type d’ensemble d’objets informationnels de
rico:isRecordStateOf,est l’état de
rico:isRelatedTo,est relié à
rico:isReplyTo,est une réponse à
rico:isRepresentationTypeOf,est le type de représentation de
rico:isRepresentedByContentOf,est représenté par le contenu de
rico:isResponsibleForIssuing,est chargé de rendre publique
rico:isRuleAssociatedWith,est une règle associée à
rico:isSenderOf,est l’expéditeur de
rico:isSourceOfInformationOfRecordResource,est une source d’information de la ressource archivistique
rico:isSubdivisionOfTransitive,est une subdivision de transitif
rico:isSubeventOfTransitive,est un événement constituant de transitif
rico:isSubordinateToTransitive,est subalterne de transitif
rico:isSuccessorOf,est le successeur de
rico:isTitleTypeOf,est le type de titre de
rico:isToUseDateOf,est la date jusqu’à laquelle est utilisé
rico:isUnitOfMeasurementOf,est l’unité de mesure de
rico:isWithin,est contenu dans
rico:issuedBy,rendue publique par
rico:knowingOfRelation_role,a le rôle de la Relation de connaissance à propos d’une personne
rico:knowingRelation_role,a le rôle de la Relation de connaissance entre personnes
rico:knownBy,est connue par
rico:knows,connaît
rico:knowsOf,a connaissance de la personne
rico:leadershipRelation_role,a le rôle de la Relation de direction
rico:leadershipWithPosition,relation de direction dans le cadre du poste
rico:managementRelation_role,a le rôle de la Relation de gestion
rico:mandateRelation_role,a le rôle de la Relation impliquant un mandat
rico:membershipRelation_role,a le rôle de la Relation d’appartenance
rico:membershipWithPosition,relation d’appartenance dans le cadre du poste
rico:migratedFrom,a été produite par migration de
